# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.4 on 2023-09-21 at 11:31:00
#
# Requested input R.A. = 119.227275816418 degrees
# Requested input Dec. = 34.2621139104478 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460209.27028719 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 663 10 4 ZTF_g 450205083915 0 2.7828 167.763 14.4719 26.3092 1.62129e-05 0.0378869 -0.098545 3.82766e-05 715 30. 0.046036 0.045751 19.2832 26.3092 1 2458204.705081 663120139 2280.13205650364 80.095856 31.666842 1.054636 2354.7315674142 124.855431 18.986685 1.047840 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 1 663 10 4 ZTF_g 450223953915 0 3.0101 166.848 14.2136 26.3108 1.77695e-05 0.0381812 -0.0910214 4.22704e-05 674 30. 0.053794 0.049261 19.2477 26.3108 1 2458204.7239583 663120139 2306.12910204058 81.625534 31.427683 1.145623 2115.1394242831 119.685440 17.791512 1.057779 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 2 663 10 4 ZTF_g 453212683915 0 2.0292 170.469 14.3008 26.298 1.04591e-05 0.0343227 -0.0761504 2.18652e-05 834 30. 0.035806 0.038723 19.5729 26.298 1 2458207.7126852 663120139 1939.00147391247 66.522232 32.423969 1.226167 1852.53115309867 119.776566 15.570725 1.044141 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 3 663 10 4 ZTF_g 453231343915 0 2.0376 167.043 14.7014 26.2886 1.13607e-05 0.0357252 -0.0746284 2.40561e-05 822 30. 0.034589 0.038943 19.5428 26.2886 1 2458207.7313426 663120139 2194.0947464419 66.478989 36.713501 1.318285 2399.05147925799 118.750168 20.338575 1.043720 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 4 663 10 4 ZTF_g 456184383915 0 1.8288 101.077 10.8879 25.7048 1.36255e-05 0.037085 -0.0433703 3.02952e-05 759 30. 0.038517 0.044229 19.3752 25.7048 1 2458210.6843866 663120139 988.52242390003 49.614746 22.163103 1.147207 960.70992239829 88.922783 10.876632 1.060430 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 5 663 10 4 ZTF_g 456194203915 0 1.9923 118.809 11.407 25.8952 1.52421e-05 0.0394545 -0.0496785 3.29979e-05 775 30. 0.037564 0.042518 19.4459 25.8952 1 2458210.6942014 663120139 1211.46413056925 54.069977 24.923508 1.141419 1214.00682220468 93.756599 13.035704 1.061377 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 6 663 10 4 ZTF_r 460161963915 0 1.8126 27.1899 12.8259 24.3267 4.62915e-05 0.0562837 0.111909 9.55428e-05 535 30. 0.03937 0.043448 17.7479 24.3267 1 2458214.6619676 663120239 390.02936083736 61.127754 7.097635 0.951608 386.79960639644 113.231598 3.439011 1.066517 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 7 663 10 4 ZTF_r 460174523915 0 2.0022 52.3378 10.5321 25.0542 1.69158e-05 0.0452463 0.110258 2.90526e-05 864 30. 0.039418 0.045738 18.6348 25.0542 1 2458214.6745255 663120239 643.20332342709 52.181358 13.711587 1.011104 550.40571782292 92.121300 6.015034 1.053490 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 8 663 10 4 ZTF_r 463164253915 0 2.4514 123.557 8.19843 25.996 5.915e-06 0.0288679 0.0827564 1.01025e-05 979 30. 0.040244 0.041986 19.7333 25.996 1 2458217.6642593 663120239 1279.70782716501 44.210251 32.199017 1.044321 1283.64134468933 70.682396 18.283007 1.046057 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 9 663 10 4 ZTF_r 463185333915 0 2.0613 55.141 10.6206 25.095 1.63405e-05 0.0445375 0.0811677 2.83623e-05 860 30. 0.0366 0.039521 18.6414 25.095 1 2458217.6853356 663120239 542.75593599361 47.518543 12.705631 0.984433 570.32751239031 87.209572 6.583781 1.042292 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 10 663 10 4 ZTF_r 469166073915 0 1.88 160.966 6.78404 26.2575 3.2196e-06 0.0211608 0.0930199 5.4927e-06 971 30. 0.037653 0.041717 20.4478 26.275 1 2458223.6660764 663120239 1554.35029549196 32.127151 53.818485 1.857385 1503.19159214094 51.275555 29.513395 1.028010 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 11 663 10 4 ZTF_r 469184073915 0 1.9106 160.971 6.87626 26.2464 2.6726e-06 0.0192741 0.0965367 4.56262e-06 969 30. 0.033094 0.037374 20.4459 26.275 1 2458223.6840741 663120239 1440.11383646583 31.902563 50.214142 1.788981 1300.48493315194 50.795410 25.774843 1.030410 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 12 663 10 4 ZTF_g 475150003915 0 3.3166 164.175 7.74286 26.3013 1.1953e-05 0.0378304 -0.141113 2.39187e-05 877 30. 0.051265 0.050528 19.8504 26.3013 1 2458229.65 663120139 990.34977370358 49.226246 22.379309 1.083939 932.86632264461 71.882378 13.065084 1.051587 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 13 663 10 4 ZTF_r 475191163915 0 2.5111 160.94 8.96638 26.2726 4.1365e-06 0.024111 0.0794153 7.05568e-06 980 30. 0.054212 0.045343 19.815 26.275 1 2458229.691169 663120239 1296.01351043549 49.783100 28.958923 1.013154 1321.48097559806 81.280655 16.367746 1.038047 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 14 663 10 4 ZTF_g 478152993915 0 2.4599 78.2394 18.5323 25.472 4.63776e-05 0.0477591 -0.109744 0.000122781 437 30. 0.043085 0.048189 18.2857 25.472 1 2458232.6529977 663120139 547.94772866757 87.939705 6.931208 0.952836 689.94564438908 152.071381 4.567543 1.043295 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 15 663 10 4 ZTF_r 478195943915 33554433 1.5783 46.7515 28.3148 24.9926 7.62714e-05 0.0655718 0.0858143 0.000160897 459 30. 0.044146 0.046685 17.6403 24.9926 1 2458232.6959491 663120239 414.25578966848 123.979446 3.716838 0.922883 441.82833772487 246.085007 1.807522 1.064322 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 16 663 10 4 ZTF_g 480142323915 0 2.1132 136.429 16.3542 26.082 1.41834e-05 0.0354904 -0.0749227 3.32716e-05 697 30. 0.034545 0.037673 19.1689 26.082 1 2458234.6423264 663120139 765.68705279623 73.433594 11.598754 0.988466 705.77246086949 133.764740 5.311758 1.042474 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 17 663 10 4 ZTF_g 480142783915 0 1.9169 145.05 15.5307 26.1324 1.32866e-05 0.0369425 -0.0724725 2.93991e-05 779 30. 0.032128 0.038943 19.3632 26.1324 1 2458234.6427894 663120139 829.18855139237 65.561691 14.068829 1.065698 688.39493152941 124.435204 5.569415 1.040512 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 18 1706 3 2 ZTF_g 480143250915 0 2.1286 362.229 15.0503 26.1838 1.23171e-05 0.0365198 -0.0601241 2.64618e-05 760 30. 0.035609 0.041721 19.4221 26.1838 2 2458234.6432523 1706120109 781.45480230738 64.693504 13.436867 1.015995 765.60908178493 118.432800 6.508041 1.038373 0.172307450651073 18.8389999389648 0.0359999984502792 1.59099996089935 0.131999999284744 2458166.747280 2458767.950069 0
 19 1706 3 2 ZTF_g 480143700915 0 1.9923 389.404 14.3066 26.2308 9.638e-06 0.0336694 -0.0666099 1.953e-05 805 30. 0.034095 0.039877 19.5888 26.2308 2 2458234.6437037 1706120109 858.57643086201 60.105831 15.889754 0.949994 652.00458560294 112.510269 5.834097 1.036445 0.172307450651073 18.8389999389648 0.0359999984502792 1.59099996089935 0.131999999284744 2458166.747280 2458767.950069 0
 20 663 10 4 ZTF_g 481199103915 0 1.8274 161.136 12.5594 26.2261 9.367e-06 0.0334442 -0.0555046 1.86284e-05 866 30. 0.036311 0.039675 19.7464 26.2261 1 2458235.6991088 663120139 826.2923028856 59.233608 15.517449 1.006341 701.39211177268 112.040024 6.302355 1.046759 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 21 663 10 4 ZTF_g 484161803915 0 2.7623 160.602 14.8638 26.2374 1.53927e-05 0.0362161 -0.0573524 3.61199e-05 666 30. 0.042949 0.047843 19.1941 26.2374 1 2458238.6618056 663120139 590.07224296528 87.101501 7.535886 0.937523 530.37740168444 134.866760 3.959089 1.073527 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 22 663 10 4 ZTF_r 489158593915 0 2.3833 160.612 8.07045 26.2313 3.9639e-06 0.0234387 0.0819062 6.75524e-06 968 30. 0.043686 0.048543 20.0247 26.275 1 2458243.6585995 663120239 927.77709450732 45.824951 22.521456 1.157256 1003.7491517126 77.908638 12.970441 1.033927 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 23 663 10 4 ZTF_g 489207763915 0 3.2573 142.028 6.16211 26.1443 1.12514e-05 0.0362998 -0.140321 2.24145e-05 864 30. 0.064062 0.06115 19.9137 26.1443 1 2458243.7077662 663120139 458.54921202742 39.030174 13.068937 0.972026 446.5964869654 57.554211 7.811841 1.049368 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 24 663 10 4 ZTF_r 495156483915 0 2.563 158.967 19.9015 25.6575 1.59879e-05 0.0463245 0.106943 2.71545e-05 940 30. 0.042598 0.047321 19.0588 26.275 1 2458249.6564815 663120239 938.99402774215 109.104347 9.573606 0.977521 1080.65143838728 177.174393 6.140445 1.074031 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 25 663 10 4 ZTF_g 495187153915 0 2.3938 149.079 6.06668 26.1334 7.6191e-06 0.0320524 -0.0418799 1.36135e-05 938 30. 0.04825 0.049909 20.2957 26.1334 1 2458249.6871528 663120139 457.05801587391 33.390675 15.226530 1.026038 470.0657997932 52.277531 9.052297 1.084914 0.184885815329953 18.910000038147 0.0450000017881393 3.11899995803833 0.221000000834465 2458166.744873 2458427.927940 0
 26 663 10 4 ZTF_r 508162303915 33554432 3.3751 622.072 20.7371 26.9403 6.8973e-06 0.0309504 0.128786 1.16952e-05 979 60. 0.046649 0.060527 19.6485 26.9403 2 2458262.6623032 1000663130239 1561.91516310179 120.861366 14.375559 1.032310 1524.17708464155 181.606354 8.449278 1.116307 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 27 663 10 4 ZTF_r 509170243915 0 2.1872 160.702 7.44912 27.3944 3.2027e-06 0.0211994 0.112244 5.43694e-06 986 90. 0.040346 0.043923 20.2953 26.275 2 2458263.6702431 663120239 757.96432785234 36.127071 23.338385 1.352816 713.86674937073 63.002502 11.407082 1.054808 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 28 663 10 1 ZTF_r 606514073615 0 2.721 152.714 14.3652 26.1653 9.0415e-06 0.0374267 0.123196 1.4868e-05 1008 30. 0.053879 0.048786 19.2493 26.1653 1 2458361.0140741 663120236 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458154.701377 2458190.654063 57,61
 29 663 10 4 ZTF_r 606514073915 0 2.8461 156.274 14.7397 26.1973 9.9961e-06 0.0365301 0.12554 1.7217e-05 933 30. 0.050407 0.049064 19.228 26.1973 1 2458361.0140741 663120239 199.52856970431 77.503403 2.863776 1.023353 50.0418254266 118.759468 0.424209 1.099070 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 0
 30 663 10 4 ZTF_r 609482743915 0 2.9346 138.897 10.4214 26.0826 1.37126e-05 0.0431176 0.101946 2.34784e-05 943 30. 0.09273 0.059128 19.396 26.0826 1 2458363.9827431 663120239 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.110126706850475 18.6150001525879 0.0540000014007092 4.70300006866455 0.204999998211861 2458154.701377 2458217.664259 61
