id,type,a_g,b_g,c_g,snratio_g,mse_g,nrise_g,a_r,b_r,c_r,snratio_r,mse_r,nrise_r,chisq_g,chisq_r
ZTF17aaazdba,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF18aabtxvd,TDE,0.0005259076502609263,-1456.9731458057681,1399.1616606482512,6.586492765335735,2.442064316168883e-06,30,0.0,0.0,0.0,0.1,100000000.0,0,0.002166526167918908,100000000.0
ZTF18aahqkbt,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0011657543678242237,7831.139069975691,9485284.82225561,6.823661337544107,0.0008396794832651774,8,100000000.0,0.05509835523972449
ZTF18aakelin,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF18acaqdaa,TDE,0.0009958585436794295,2640.7148730219374,12489.702376240448,6.158522280947181,2.3127525976740986e-05,4,0.0,0.0,0.0,0.1,100000000.0,0,0.00036505041009956255,100000000.0
ZTF18acpdvos,TDE,8.829221893612312e-05,18757.388535820694,157983.29050018577,32.501600343596905,4.7678269303255607e-07,13,0.0,0.0,0.0,0.1,100000000.0,0,7.98855195359788e-05,100000000.0
ZTF19abzrhgq,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF19accmaxo,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF19acspeuw,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF20aabqihu,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF20aamqmfk,TDE,0.01921831218479808,286.79756494367973,353050.16896138585,6.885209301701087,8.093337015053597e-05,4,0.020940231804747047,254.74002435513856,202611.8673523715,6.515042660185332,0.0002686146932041938,5,0.00117347730059667,0.0069043205640549835
ZTF20abefeab,TDE,0.2741274466114089,-1.465910177642865,2721.1865763302867,11.180965491071474,1.1936351223713405e-05,7,0.06978194261268798,5.945058025468422,3965.7977184967162,10.465071216147189,4.29508079467906e-05,6,0.0005292172153091683,0.0015070341399803513
ZTF20abfcszi,TDE,0.06582576500119322,21.022322189393186,5488.005871413204,11.886627375164688,6.118598298657641e-06,19,0.035763967102915434,53.99121839773325,11488.666585159079,11.070656799806057,1.1833126775623086e-05,16,0.003351732526606557,0.003132338208755983
ZTF20abjwvae,TDE,0.16147848143372584,6.168693337214371,2747.6013927146178,9.365155238685421,3.453821085366214e-05,8,0.17559701449416623,-2.8711839143195843,2236.4095453514487,8.861678757103194,5.785743277835568e-05,5,0.0028935186566651488,0.0014258848717637767
ZTF20abnorit,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF20abowque,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF20abrnwfc,TDE,0.00499285013554697,627.7459985730943,42633.786347825095,8.37180486992554,1.4129581738736252e-05,4,0.30607246729768184,-12.018988548179784,1245.918028828913,6.940836090905225,6.132948831759542e-06,5,0.0002300431927520648,0.00015249695505873797
ZTF20acitpfz,TDE,0.07587943269242858,92.93731653029873,2673853.7271563397,12.452392333814712,6.745954213513553e-06,4,0.12822258875464448,13.96949997349808,10427.617611969265,13.450876915416433,0.0003532517221036225,5,0.00015793916618418206,0.013040003003940953
ZTF20acqoiyt,TDE,0.11268227427740643,14.328458816920698,12491.793425551678,13.129725169053538,0.00017441991523535575,7,0.12091774200201827,10.56884695809953,9950.583113059147,14.239810316514294,3.838497763579371e-05,5,0.015093190301177555,0.0011445970278770362
