# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.4 on 2023-09-21 at 11:31:02
#
# Requested input R.A. = 193.788473848 degrees
# Requested input Dec. = 49.519405264 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460209.27028719 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 756 11 1 ZTF_r 444374214015 0 2.2256 201.573 7.15674 26.1558 1.67263e-05 0.0289224 0.12528 2.4303e-05 318 30. 0.050556 0.053353 20.3166 26.1558 2 2458198.874213 756120240 -1.86319083848 29.930838 -0.069246 0.961465 -31.51562445604 55.274452 -0.574006 1.050231 0.200405010094667 20.2590002059937 0.0489999987185001 1.817999958992 0.128000006079674 2458155.034178 2458198.874213 0
 1 756 11 1 ZTF_r 444382804015 0 1.7334 215.322 7.11394 26.2158 1.40569e-05 0.0265347 0.124049 2.04053e-05 319 30. 0.058439 0.046155 20.3948 26.2158 2 2458198.8828009 756120240 22.87260787919 30.914223 0.823023 0.978183 -12.49208111496 59.358776 -0.211868 1.043571 0.200405010094667 20.2590002059937 0.0489999987185001 1.817999958992 0.128000006079674 2458155.034178 2458198.874213 0
 2 756 11 1 ZTF_r 444407714015 0 1.6819 252.525 5.95125 26.4029 1.74997e-05 0.0295511 0.120777 2.54139e-05 318 30. 0.065834 0.050215 20.8095 26.4029 2 2458198.9077199 756120240 -33.69745534852 22.907898 -1.636314 1.036716 -9.56940649667 45.216141 -0.213062 1.042062 0.200405010094667 20.2590002059937 0.0489999987185001 1.817999958992 0.128000006079674 2458155.034178 2458198.874213 0
 3 756 11 1 ZTF_r 445317164015 33554432 1.6979 122.006 7.53322 25.6214 1.68748e-05 0.0292 0.117193 2.4632e-05 320 30. 0.05863 0.052467 19.7699 25.6214 2 2458199.8171644 756120240 -11.35052377271 29.919884 -0.421998 0.921710 79.67829708485 62.003471 1.293717 1.032836 0.200405010094667 20.2590002059937 0.0489999987185001 1.817999958992 0.128000006079674 2458155.034178 2458198.874213 0
 4 756 11 1 ZTF_g 448288534015 0 2.4064 213.028 7.3271 26.35 2.0631e-05 0.0321376 -0.0532077 3.18327e-05 306 30. 0.056049 0.054231 20.291 26.35 2 2458202.7885301 756120140 54.58937880817 38.360554 1.582990 1.004112 98.09408370243 61.827114 1.597273 1.103625 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 5 756 11 1 ZTF_g 448294994015 0 2.4021 213.714 7.26445 26.3521 1.58749e-05 0.0280905 -0.0518409 2.50741e-05 302 30. 0.057492 0.053673 20.2979 26.3521 1 2458202.795 756120140 75.74371610567 37.166286 2.267004 1.088533 85.44143799921 60.207645 1.428671 1.099584 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 6 756 11 1 ZTF_g 448295964015 0 2.4031 214.053 7.24225 26.3521 2.09556e-05 0.0323368 -0.0508618 3.24204e-05 308 30. 0.061786 0.054543 20.3126 26.3521 2 2458202.7959606 756120140 9.11431342346 39.707794 0.255331 0.977718 0.37942852704 64.974937 0.005879 1.098713 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 7 756 11 1 ZTF_g 448317464015 0 2.393 214.867 6.86562 26.345 1.63802e-05 0.0284418 -0.0316096 2.57542e-05 301 30. 0.054747 0.050146 20.3931 26.345 2 2458202.8174653 756120140 37.87993754571 37.244179 1.131373 1.023905 12.95736738516 59.579517 0.218945 1.111765 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 8 756 11 1 ZTF_g 448341144015 0 1.9949 216.303 6.54781 26.3396 1.61914e-05 0.0285799 -0.0311734 2.43379e-05 315 30. 0.055179 0.053766 20.6459 26.3396 1 2458202.8411458 756120140 -4.84027742456 30.603004 -0.175939 1.011634 16.69754010669 52.271023 0.321593 1.094364 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 9 756 11 1 ZTF_g 448342064015 0 2.488 214.047 6.55124 26.3328 1.86885e-05 0.03065 -0.037258 2.85754e-05 310 30. 0.056959 0.055431 20.5675 26.3328 2 2458202.8420602 756120140 -17.23839161458 30.427280 -0.630215 1.051953 5.62372886255 51.574734 0.109775 1.095315 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 10 756 11 1 ZTF_g 448363264015 0 2.9021 214.331 6.11929 26.3347 1.55531e-05 0.0280907 -0.0365741 2.35312e-05 312 30. 0.056713 0.056177 20.5853 26.3347 2 2458202.8632639 756120140 9.53113434851 32.007965 0.331239 0.960919 -48.36607371082 52.323593 -0.930590 1.099360 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 11 756 11 1 ZTF_g 449348194015 0 2.3131 215.268 8.13781 26.3647 1.97591e-05 0.0311351 -0.0514138 3.10129e-05 303 30. 0.055951 0.053413 20.2139 26.3647 2 2458203.8481944 756120140 7.23099554565 40.750069 0.197390 1.029817 68.71855756111 69.257538 0.998900 1.071911 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 12 756 11 1 ZTF_g 449366154015 0 1.9804 208.53 8.0838 26.3246 2.20058e-05 0.0331214 -0.0559832 3.29305e-05 311 30. 0.054824 0.054445 20.2549 26.3246 2 2458203.8661574 756120140 33.1270534897 39.419342 0.934820 0.912192 9.88856295953 70.961357 0.140290 1.069253 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 13 756 11 1 ZTF_g 450276894015 0 2.9077 212.152 10.3239 26.3866 3.13965e-05 0.0377448 -0.093174 5.52619e-05 265 30. 0.067058 0.064883 19.7019 26.3866 2 2458204.7768981 756120140 -45.21948641577 58.671555 -0.857340 1.050435 21.37184638497 90.990585 0.236462 1.067570 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 14 756 11 1 ZTF_g 450304084015 0 2.825 214.99 10.0686 26.3963 2.96694e-05 0.0368554 -0.0988147 5.11516e-05 270 30. 0.066185 0.055368 19.7671 26.3963 2 2458204.8040856 756120140 86.91757788986 60.443874 1.599595 0.902087 192.47807806999 93.955872 2.062398 1.074865 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 15 756 11 1 ZTF_g 450328574015 0 3.2426 215.305 9.8826 26.3866 3.02653e-05 0.0359313 -0.0809236 5.48116e-05 252 30. 0.070753 0.059636 19.6614 26.3866 2 2458204.8285764 756120140 -68.00548392928 69.012856 -1.096147 0.864314 -101.77566305368 98.567932 -1.039498 1.095782 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 16 756 11 1 ZTF_g 450336654015 0 3.3863 214.66 9.90676 26.3905 3.61211e-05 0.0387009 -0.0816711 6.9809e-05 240 30. 0.083856 0.066595 19.6224 26.3905 2 2458204.8366551 756120140 57.34440182485 65.386955 0.975562 0.989503 -26.01424357281 90.550591 -0.289225 1.105469 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 17 756 11 1 ZTF_g 450356194015 0 2.4692 215.016 9.90993 26.3838 2.64655e-05 0.0356256 -0.0754908 4.38599e-05 288 30. 0.059188 0.054645 19.8801 26.3838 2 2458204.8561921 756120140 42.77907413205 50.574806 0.940918 1.059722 14.48927986646 83.933304 0.173791 1.065829 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 18 756 11 1 ZTF_g 450394514015 0 2.5292 212.42 9.74116 26.3676 2.71148e-05 0.0360187 -0.073741 4.47791e-05 285 30. 0.062871 0.059948 19.9077 26.3676 2 2458204.8945139 756120140 -87.21514505059 50.216549 -1.931968 1.065889 -271.07659652603 82.526955 -3.306826 1.070575 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 19 756 11 1 ZTF_g 451283534015 0 2.4454 208.31 11.9848 26.3743 3.40195e-05 0.0396327 -0.0605345 6.02034e-05 271 30. 0.068902 0.065099 19.6245 26.325 2 2458205.7835301 756120140 -66.28362645729 60.877216 -1.211173 1.041761 -112.42535774719 101.228973 -1.118085 1.068465 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 20 756 11 1 ZTF_g 451295694015 0 2.2096 208.328 11.8096 26.3688 2.34657e-05 0.0334112 -0.0459967 3.97357e-05 280 30. 0.061105 0.060224 19.7457 26.325 2 2458205.7956944 756120140 45.62366063086 57.310520 0.885545 1.060534 193.18616903659 100.268631 1.939662 1.061764 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 21 756 11 1 ZTF_g 451323374015 0 2.3617 208.296 11.6572 26.3729 2.64934e-05 0.0350871 -0.055523 4.54611e-05 276 30. 0.057364 0.055163 19.697 26.325 2 2458205.8233796 756120140 36.05400721579 60.849438 0.659101 1.033444 -7.70093078807 102.727837 -0.075469 1.067805 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 22 756 11 1 ZTF_g 451336064015 0 2.5186 208.266 12.3624 26.3263 2.82167e-05 0.0354431 -0.0334527 5.09886e-05 257 30. 0.066518 0.062466 19.5911 26.325 1 2458205.8360648 756120140 49.43584629741 64.413628 0.853727 1.063366 104.13644207117 104.552094 1.002733 1.079096 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 23 756 11 1 ZTF_g 451352774015 0 2.5458 207.971 21.1436 25.9623 5.95926e-05 0.0426116 -0.0292346 0.000123771 188 30. 0.058454 0.063679 19.006 26.325 2 2458205.8527778 756120140 -192.97877406998 113.407837 -1.892872 0.926576 -108.96336844433 183.081482 -0.599172 1.081593 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 24 756 11 1 ZTF_g 451357004015 0 2.6809 208.091 18.6162 26.0663 4.33562e-05 0.0372908 -0.042892 8.73738e-05 192 30. 0.0619 0.061514 19.0952 26.325 1 2458205.8570023 756120140 -86.65205361581 97.934883 -0.984229 1.054126 -172.10317421969 153.969177 -1.125305 1.089277 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 25 756 11 1 ZTF_g 451357914015 0 2.7196 207.963 19.6187 26.0342 7.36197e-05 0.0464083 -0.048519 0.000153885 183 30. 0.06934 0.073024 19.0165 26.325 2 2458205.8579167 756120140 58.75137797391 115.650063 0.565102 0.997203 -29.7891881042 179.709946 -0.166879 1.086173 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 26 756 11 1 ZTF_g 451394404015 0 3.1622 208.058 14.0235 26.2899 5.67269e-05 0.0427129 -0.0617535 0.000119133 195 30. 0.072788 0.066271 19.249 26.325 2 2458205.8944097 756120140 -11.57677294643 96.366211 -0.133634 0.866822 49.6208904479 138.295502 0.361220 1.100052 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
 27 756 11 1 ZTF_g 452275754015 0 2.0547 208.432 13.8043 26.3746 2.75008e-05 0.0356619 -0.0598419 4.76643e-05 271 30. 0.058982 0.053425 19.6408 26.325 2 2458206.7757523 756120140 45.88573375908 63.527889 0.803467 0.970915 72.15298449809 116.364952 0.624234 1.053580 0.547970591778182 21.5779997825623 0.150999993085861 1.73399996757507 0.20100000500679 2458166.947720 2458204.894514 0
