# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.4 on 2023-09-21 at 11:31:02
#
# Requested input R.A. = 335.571366464706 degrees
# Requested input Dec. = -7.26638875294118 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460209.27028719 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 392 15 3 ZTF_r 514443365815 0 3.039 167.35 14.7206 26.1328 1.27399e-05 0.03668 0.0804721 1.95568e-05 676 30. 0.07438 0.06135 19.0308 26.1328 1 2458268.9433681 392120258 13.58175832301 73.291260 0.206138 1.027893 -113.42967858854 115.986885 -0.984539 1.039343 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
 1 392 15 3 ZTF_g 514461755815 0 2.6745 100.338 16.9686 26.2061 2.83721e-05 0.043077 -0.0552139 6.14145e-05 431 30. 0.059322 0.060269 19.0648 26.2061 1 2458268.9617593 392120158 26.96081509248 88.133018 0.340290 0.975100 25.04322146259 144.172226 0.174873 1.050013 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 2 392 15 3 ZTF_r 517439075815 0 2.3931 164.884 13.9799 26.11 1.06899e-05 0.0338118 0.0989641 1.63764e-05 691 30. 0.065039 0.075737 19.273 26.11 1 2458271.9390741 392120258 -7.97661564717 66.077156 -0.134283 0.941438 -33.71684312168 115.026741 -0.295096 1.042094 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
 3 392 15 3 ZTF_g 517481245815 0 2.4518 101.993 17.1057 26.2149 1.7985e-05 0.0357485 -0.0515782 3.82751e-05 460 30. 0.061872 0.066384 19.138 26.2149 1 2458271.98125 392120158 60.5030632705 82.847496 0.812368 0.925602 -180.78939204289 140.272949 -1.297520 1.054996 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 4 392 15 3 ZTF_r 522477295815 0 2.0995 178.41 10.0087 26.1851 5.0151e-06 0.0233176 0.0979058 7.78579e-06 699 30. 0.051674 0.045387 19.8191 26.1851 1 2458276.9772917 392120258 29.22434424106 42.474442 0.765371 0.953222 143.05455533916 78.758781 1.828596 1.040176 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
 5 392 15 3 ZTF_g 525471735815 0 2.511 106.13 6.8543 26.2625 1.03902e-05 0.033091 -0.0600672 1.69129e-05 677 30. 0.063696 0.060018 20.2322 26.2625 1 2458279.9717361 392120158 25.53710551584 32.318996 0.878959 1.052053 81.0098142402 53.365334 1.528247 1.063101 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 6 392 15 3 ZTF_g 528419815815 0 2.4472 83.581 4.86604 26.0165 8.9949e-06 0.031018 -0.0691141 1.39618e-05 689 30. 0.065927 0.057409 20.3737 26.0165 1 2458282.9198148 392120158 4.17181861505 22.125317 0.209745 0.923113 53.37402785155 38.412933 1.398839 1.048584 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 7 392 15 3 ZTF_r 531400855815 0 2.5003 172.829 5.74011 26.1669 5.7189e-06 0.0247226 0.076721 8.76269e-06 691 30. 0.064247 0.061833 20.2354 26.1669 1 2458285.9008565 392120258 10.71367904119 24.073805 0.495050 1.065214 21.87912483542 41.951920 0.525041 1.030037 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
 8 392 15 3 ZTF_g 531439715815 0 2.1567 104.681 4.44369 26.283 7.3387e-06 0.0279995 -0.0955149 1.13528e-05 691 30. 0.056348 0.057722 20.8472 26.283 1 2458285.9397106 392120158 -26.89802293695 16.955542 -1.764670 0.939581 -71.58549457537 31.599960 -2.280624 1.034508 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 9 392 15 3 ZTF_g 534418695815 0 3.4953 103.286 4.78371 26.235 1.43067e-05 0.0380733 -0.0551068 2.44263e-05 649 30. 0.077071 0.060559 20.2459 26.235 1 2458288.9186921 392120158 32.99877676349 31.677361 1.158787 0.979792 61.78015013433 42.730057 1.455562 1.124812 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 10 392 15 3 ZTF_r 534460215815 0 3.1818 180.283 5.73468 26.1923 6.1794e-06 0.0256758 0.109346 9.55885e-06 687 30. 0.06714 0.055624 20.1156 26.1923 1 2458288.9602199 392120258 -105.04085713939 36.679806 -3.185562 0.974602 -180.42293316452 51.884167 -3.500839 1.113499 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
 11 392 15 3 ZTF_g 537439405815 0 2.1894 106.425 4.41584 26.2788 5.426e-06 0.0242375 -0.0692711 8.43877e-06 696 30. 0.054511 0.049753 20.8348 26.2788 1 2458291.9394097 392120158 -6.37159820505 16.810427 -0.421623 0.973813 0.78948974117 30.876190 0.025742 1.046398 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 12 392 15 3 ZTF_g 540377525815 0 2.7905 98.9595 12.7858 26.1983 2.09191e-05 0.0417045 -0.0809713 4.25582e-05 532 30. 0.068958 0.063586 19.3324 26.1983 1 2458294.8775231 392120158 -20.18261275643 62.287010 -0.360441 1.007339 60.29965435856 100.791756 0.602289 1.044592 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 13 392 15 3 ZTF_g 543481625815 0 2.5493 107.983 19.5601 26.2788 2.21883e-05 0.0359795 -0.0429377 5.06287e-05 405 30. 0.063936 0.058491 19.022 26.2788 1 2458297.9816204 392120158 -3.73442745846 106.859749 -0.038874 0.954106 -50.98763832233 171.915634 -0.298583 1.074795 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 14 392 15 3 ZTF_r 550411435815 0 1.9217 176.655 8.71832 26.1747 4.4399e-06 0.0220263 0.102374 6.87613e-06 705 30. 0.051436 0.050698 20.0689 26.1747 1 2458304.9114352 392120258 27.60757726104 34.548965 0.888890 1.001935 102.14053859591 66.909286 1.536834 1.037817 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
 15 392 15 3 ZTF_g 550439525815 0 2.2485 106.033 8.74755 26.2983 1.03052e-05 0.0326265 -0.0904065 1.70382e-05 669 30. 0.055964 0.052799 20.0769 26.2983 1 2458304.9395255 392120158 14.07876557412 36.693920 0.426801 0.975454 36.02098856952 67.453568 0.537608 1.038409 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 16 392 15 3 ZTF_r 553399235815 0 2.002 158.489 6.04288 26.0732 4.4219e-06 0.0217446 0.0935949 6.76861e-06 694 30. 0.052387 0.052016 20.4137 26.0732 1 2458307.8992361 392120258 -8.42371567976 21.171556 -0.442594 1.066508 50.41136952583 41.615128 1.219530 1.031331 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
 17 392 15 3 ZTF_r 558437025815 0 1.9391 157.938 5.7184 26.0584 3.8772e-06 0.0203092 0.0923872 6.02225e-06 692 30. 0.047381 0.046393 20.4973 26.0584 1 2458312.9370255 392120258 -9.34006276986 20.607483 -0.504173 0.929955 -65.24433763222 40.738716 -1.612318 1.031405 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
 18 392 15 3 ZTF_g 558461905815 0 1.826 96.7834 4.6597 26.1771 5.9277e-06 0.0253007 -0.073172 9.29948e-06 691 30. 0.048917 0.051355 20.7574 26.1771 1 2458312.9619097 392120158 16.2945324466 16.491404 1.099105 0.941459 74.11376254513 32.990124 2.261675 1.036674 0.0592921229903622 18.766999912262 0.0520000010728836 4.40899991989136 0.243000000715256 2458279.971736 2458379.833218 0
 19 392 15 3 ZTF_r 564357765815 0 2.1383 175.664 5.89761 26.1685 5.4047e-06 0.0241286 0.0996005 8.29309e-06 697 30. 0.056662 0.05017 20.4802 26.1685 1 2458318.8577662 392120258 -18.02201926873 21.606819 -0.927828 0.977034 5.48022934009 39.586727 0.139368 1.036704 0.0444907180097252 18.0379995346069 0.0540000014007092 4.91200017929077 0.261999994516373 2458285.900857 2458428.605486 0
