candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
2470447960015010001,45.5922375,1,2460224.947963,19.202536,ZTF18aahqkbt,123.8609108,0.12604947
2459448283915010000,34.2620651,1,2460213.948287,19.845415,ZTF18aabtxvd,119.2272785,0.18822576
2459404000015010000,45.5922369,1,2460213.9040046,19.023489,ZTF18aahqkbt,123.8607587,0.16541614000000002
2439499981315010001,45.5921703,2,2460193.9999884,19.162437,ZTF18aahqkbt,123.8608861,0.19851902
2439488740015010000,45.5922093,1,2460193.98875,19.344976,ZTF18aahqkbt,123.860907,0.13538039
2311181950015010000,45.5921915,1,2460065.681956,19.032743,ZTF18aahqkbt,123.8609668,0.119692795
2305164690015010000,45.5922084,1,2460059.6646991,19.232594,ZTF18aahqkbt,123.8609621,0.123079084
2303197780015010000,45.5922044,1,2460057.6977894,19.22009,ZTF18aahqkbt,123.8609276,0.09324026
2303196853915010000,34.2621431,1,2460057.6968519,19.969536,ZTF18aabtxvd,119.227231,0.1782557
2303166330015010000,45.5922614,2,2460057.666331,19.802185,ZTF18aahqkbt,123.8608074,0.18797149
2301181650015010000,45.5922099,1,2460055.6816551,19.265284,ZTF18aahqkbt,123.8610144,0.089896075
2301180163915010000,34.2621581,1,2460055.680162,20.031961,ZTF18aabtxvd,119.2272491,0.20466547000000002
2297215780015010000,45.5922155,1,2460051.715787,19.17568,ZTF18aahqkbt,123.8609239,0.0645578
2297196333915010000,34.2621286,1,2460051.696331,20.073336,ZTF18aabtxvd,119.2272971,0.16969831
2295166123915010000,34.2621065,1,2460049.6661227,20.029678,ZTF18aabtxvd,119.2273579,0.20481059999999998
2295163760015010001,45.5922103,1,2460049.6637616,19.070454,ZTF18aahqkbt,123.8609644,0.07933248600000001
2291181620015010001,45.5922143,1,2460045.6816204,19.186026,ZTF18aahqkbt,123.8609193,0.082236715
2291178733915010000,34.2621295,1,2460045.6787384,20.217491,ZTF18aabtxvd,119.227242,0.20188858
2289310710015010000,45.5921319,1,2460043.8107176,19.013315,ZTF18aahqkbt,123.8609087,0.16871457
2282309440015010000,45.5922167,1,2460036.8094444,19.16093,ZTF18aahqkbt,123.8609542,0.15645863000000002
2277199810015010000,45.5922268,1,2460031.6998148,19.115114,ZTF18aahqkbt,123.8609338,0.10654766
2277182823915010000,34.2621032,1,2460031.6828241,19.86731,ZTF18aabtxvd,119.2271937,0.19609395000000002
2277161650015010000,45.5921963,2,2460031.6616551,19.652655,ZTF18aahqkbt,123.8608281,0.1254807
2267201750015010001,45.5921936,1,2460021.7017593,18.979616,ZTF18aahqkbt,123.8609844,0.10896942
2267198423915010000,34.2619969,1,2460021.6984259,19.971254,ZTF18aabtxvd,119.2272814,0.17251368
2263199020015010000,45.5921965,1,2460017.6990278,19.072294,ZTF18aahqkbt,123.8609614,0.07531436500000001
2240362100015010000,45.5922219,1,2459994.8621065,19.336716,ZTF18aahqkbt,123.860996,0.14180152000000001
2238256890015010000,45.59219,1,2459992.7568981,19.185118,ZTF18aahqkbt,123.861053,0.14298688
2238228701315010001,45.5921795,2,2459992.7287037,19.031534,ZTF18aahqkbt,123.8610486,0.14206718000000002
2231227340015010000,45.5921963,2,2459985.7273495,19.666399,ZTF18aahqkbt,123.8608835,0.20010261000000001
2229115480015010000,45.5922127,1,2459983.6154861,19.088331,ZTF18aahqkbt,123.8609089,0.10351826
2217364910015010001,45.592174,1,2459971.864919,19.164652,ZTF18aahqkbt,123.8609175,0.08209274
2215320351315010001,45.5922304,2,2459969.8203588,19.320667,ZTF18aahqkbt,123.8610147,0.18541555
2215280480015010001,45.5921685,1,2459969.7804861,19.131824,ZTF18aahqkbt,123.8609958,0.09572816
2213348050015010001,45.5921783,1,2459967.8480556,18.94994,ZTF18aahqkbt,123.8609185,0.09877676
2197380410015010000,45.5922697,1,2459951.8804167,19.009142,ZTF18aahqkbt,123.8609144,0.17265321
2183373693915010000,34.2621605,1,2459937.8736921,19.947513999999998,ZTF18aabtxvd,119.227316,0.20400487
2183341450015010000,45.5920977,2,2459937.8414583,19.435835,ZTF18aahqkbt,123.8608824,0.11851006
2183321250015010001,45.592158,1,2459937.82125,19.02125,ZTF18aahqkbt,123.8609956,0.09387506500000001
2181337500515010009,1.6927848,1,2459935.8375,16.462898,ZTF18acpdvos,151.7119917,0.037985608000000004
2181330060015010009,45.5922302,1,2459935.8300694,19.12434,ZTF18aahqkbt,123.8609489,0.09460697
2181317513915010001,34.2620692,1,2459935.8175116,19.978031,ZTF18aabtxvd,119.2272873,0.18649858
2176370560015010000,45.5921778,1,2459930.8705671,19.15225,ZTF18aahqkbt,123.8609045,0.104054146
2176328623915010001,34.2620629,1,2459930.8286227,20.057543,ZTF18aabtxvd,119.2272407,0.20122093
2169411770015010000,45.5922288,1,2459923.9117708,18.98412,ZTF18aahqkbt,123.8609031,0.12179364000000001
2152424140515010016,1.6927816999999998,1,2459906.9241435,16.475723,ZTF18acpdvos,151.7119904,0.027268313000000002
2149373763915010000,34.2621126,1,2459903.8737616,20.06207,ZTF18aabtxvd,119.2273151,0.18369152
2149372340015010003,45.5922111,1,2459903.8723495,19.07146,ZTF18aahqkbt,123.8608395,0.077568576
2147384880015010015,45.5922254,1,2459901.8848843,18.84719,ZTF18aahqkbt,123.8609857,0.11909238
2143467590015010002,45.5922819,1,2459897.9675926,19.101849,ZTF18aahqkbt,123.8608916,0.14831188
2141368440015010000,45.5922296,1,2459895.8684491,19.212807,ZTF18aahqkbt,123.8609176,0.13412246
2135492740015010000,45.5922109,1,2459889.9927431,19.109716,ZTF18aahqkbt,123.8609089,0.105799265
2134458250515010003,1.6927872,1,2459888.9582523,16.476114,ZTF18acpdvos,151.7119968,0.042670615
2128515540015010003,45.5921912,1,2459883.015544,19.166399,ZTF18aahqkbt,123.860928,0.14784177
2127463480515010009,1.6927773,1,2459881.9634838,16.4643,ZTF18acpdvos,151.7119999,0.03134494
2125464460515010021,1.6927926,1,2459879.9644676,16.478992,ZTF18acpdvos,151.7119805,0.034767926000000005
