tns,objectId
nan,ZTF22abxacvm
SN Ia,ZTF21aciqppd
nan,ZTF24aaekkvd
nan,ZTF24abodpph
nan,ZTF20acwnpke
nan,ZTF21aapjxux
nan,ZTF19aaufbtu
nan,ZTF20aaskbht
nan,ZTF22aacmiyy
nan,ZTF24aaomloj
SN Ia,ZTF22aazjvid
nan,ZTF22aafrtyt
nan,ZTF22aanriim
nan,ZTF21acnsgyl
nan,ZTF18aasxguy
nan,ZTF19abrreik
nan,ZTF22aaafmop
SN Ia,ZTF21acjnajt
nan,ZTF21aazhtku
SN Ia-SC,ZTF22aahhywm
nan,ZTF22aayqisi
nan,ZTF19aaldils
nan,ZTF18aaekrwv
nan,ZTF22abqrjwe
nan,ZTF18abmvlrj
nan,ZTF20abdwade
nan,ZTF23abvywpb
SN II,ZTF19aanpcep
nan,ZTF21abbzmwx
nan,ZTF23aaxxqnr
nan,ZTF21aavcoxf
nan,ZTF21aagyclx
nan,ZTF23aadgfoz
nan,ZTF21abkfdis
nan,ZTF22abtlvgh
nan,ZTF18adbcjin
nan,ZTF22aazpuos
nan,ZTF23aboluhh
SN Ia,ZTF21abzbuvf
nan,ZTF22aadpptp
nan,ZTF20abzkzcw
nan,ZTF19abulrfa
SN Ia,ZTF24aaympoq
nan,ZTF21aasrlhr
nan,ZTF18abhhfhe
nan,ZTF24aaifila
SN Ia,ZTF21abmcori
nan,ZTF20abzhysr
nan,ZTF19aakrkrk
SN Ia,ZTF21abcnpnk
nan,ZTF20abdxwye
nan,ZTF21abpyefp
SN Ib/c,ZTF24aayucpn
nan,ZTF22aaafmoc
nan,ZTF20acrlwfq
SN Ia,ZTF21abahgst
SN Ia,ZTF19abalrbb
SN IIn,ZTF24abjftxl
nan,ZTF21absjixg
nan,ZTF18abgkjeo
SN Ia,ZTF19abttrte
nan,ZTF20abwwzxe
nan,ZTF19aawxcze
nan,ZTF22abzzthk
SN Ia,ZTF21acoqbuo
nan,ZTF21acoifig
SN Ia,ZTF18absnqyo
nan,ZTF21aagogrx
nan,ZTF21aavdgpi
nan,ZTF21abqyans
nan,ZTF22aaaurkt
nan,ZTF18aczerbj
nan,ZTF23abpdaom
SN Ia,ZTF22aaftfcf
SN Ia,ZTF21ackmfgz
TDE,ZTF24aaecooj
nan,ZTF19acoyidq
nan,ZTF24aaxvscy
nan,ZTF24aabdxtp
nan,ZTF18abtigie
nan,ZTF20aamtzzr
nan,ZTF19ablmzaa
nan,ZTF24absnyux
nan,ZTF23abqemoa
SN Ia,ZTF22abjrcte
nan,ZTF21aaupwns
nan,ZTF22ablufkg
SN II,ZTF19acryurj
nan,ZTF22abnsxoj
nan,ZTF23abgomoz
nan,ZTF19aatmoqr
nan,ZTF23aaukypp
SN Ia,ZTF24abcixyi
nan,ZTF21abcnsmq
nan,ZTF19acigmhp
nan,ZTF22aalvcpc
nan,ZTF24aaaaknq
nan,ZTF21abxpnef
SN II,ZTF23absekbz
SN Ia,ZTF21abgywtg
nan,ZTF20abkjmoc
nan,ZTF22abvhjpi
nan,ZTF21aahnlgc
nan,ZTF24aaegfoq
nan,ZTF22aakfmcf
nan,ZTF19aarisyg
nan,ZTF24abpzvqo
SN Ia,ZTF20actpatx
nan,ZTF21abovanp
nan,ZTF23aabidjl
nan,ZTF19aapwpyj
nan,ZTF21acniofx
nan,ZTF20acpimeq
nan,ZTF24aadsgcv
nan,ZTF23abnhtfx
nan,ZTF21acefglu
nan,ZTF19abgczul
nan,ZTF24aaoaega
nan,ZTF23aasmwub
nan,ZTF23abthyst
nan,ZTF20acqislg
nan,ZTF20aawkskq
nan,ZTF21abiumsl
nan,ZTF18aajedlr
nan,ZTF23aaapopu
nan,ZTF23aavtcas
nan,ZTF18acdxmib
nan,ZTF23aaoxbzl
nan,ZTF20aattsog
nan,ZTF18aaeopbs
nan,ZTF21acfbpcp
nan,ZTF21abhrety
nan,ZTF20acheiak
nan,ZTF21aasblyx
nan,ZTF23aabeehu
nan,ZTF20acqosqh
nan,ZTF21aareoma
nan,ZTF24aalorkg
SN II,ZTF24ablozqg
nan,ZTF21acrcmev
SN Ia,ZTF21acfcthx
nan,ZTF21abvdcqw
nan,ZTF20acgsbma
nan,ZTF22aacnmdi
CV,ZTF24aaionxj
nan,ZTF24aayfnzt
nan,ZTF23abvugph
nan,ZTF21abqjluo
nan,ZTF22ablbpdb
nan,ZTF21abkfyxq
nan,ZTF21aalknoo
nan,ZTF18acaeesu
nan,ZTF21acudpir
nan,ZTF22aaaffsc
nan,ZTF21aaeflgk
nan,ZTF24abaxyhi
nan,ZTF20acwyiun
nan,ZTF18abwlmay
nan,ZTF23aacurux
AGN,ZTF23aahbtjx
nan,ZTF19acdlagk
SN Ia,ZTF22aalxmtp
nan,ZTF22aabhbke
nan,ZTF24aaqoezn
nan,ZTF22abgbmfa
nan,ZTF19acnpnjn
SN Ia,ZTF23aajpuzw
SN Ia,ZTF18abeaipj
nan,ZTF24abheyev
nan,ZTF23aangcln
nan,ZTF20acpocys
nan,ZTF21abprknn
nan,ZTF22aaijniw
nan,ZTF22abrigpi
nan,ZTF24aangmcn
nan,ZTF22abjztwv
nan,ZTF20aamyjdd
nan,ZTF18acwxwgw
SN Ia,ZTF19aatvlym
nan,ZTF24aaitves
nan,ZTF22aahnvmo
SN Ia,ZTF19aanhlxe
nan,ZTF20aajfzfy
nan,ZTF24absnzui
nan,ZTF20aahqcaz
nan,ZTF19aawfdpm
nan,ZTF21aaisube
SN II,ZTF22aadksbz
nan,ZTF22abilsva
nan,ZTF20aauwyyn
nan,ZTF22abfyqdn
nan,ZTF19acqeaiz
nan,ZTF21abdkpha
SN Ia,ZTF23aaubzzz
SN Ia-91bg-like,ZTF22aadlmgg
nan,ZTF20aavwzld
nan,ZTF18adlcygb
SN Ia-pec,ZTF18aafzers
nan,ZTF23aaxahzq
nan,ZTF20actobug
nan,ZTF22aaaotcl
nan,ZTF22abbrops
nan,ZTF22aaxjlmo
SN Ic,ZTF19aadwtoe
nan,ZTF23aasxkfj
nan,ZTF18acwward
nan,ZTF24abpveav
nan,ZTF21aavxuxr
nan,ZTF21abmdzqa
SN Ia,ZTF20aafcmfi
nan,ZTF21aalzolf
nan,ZTF19actljxp
nan,ZTF21acrbbjy
nan,ZTF21acogupi
nan,ZTF24abnvicc
nan,ZTF20aafsero
SN Ia,ZTF24aaljswk
nan,ZTF22abhjbkr
SN Ia,ZTF20achncqp
nan,ZTF18acajwep
nan,ZTF21aafdher
SN Ia,ZTF21acaeoms
nan,ZTF24abriccf
nan,ZTF24aaarwuy
SN Ia,ZTF23abieafn
nan,ZTF18adbijqe
nan,ZTF23aamxpba
nan,ZTF23aaazbqf
nan,ZTF20aclwssg
nan,ZTF21aarzyfn
nan,ZTF20aasajit
nan,ZTF19acrvoou
nan,ZTF20acvawbq
nan,ZTF23aaorwsb
SN Ia,ZTF19acrkvog
nan,ZTF18actackd
nan,ZTF24aaikobb
nan,ZTF21aahrwpa
nan,ZTF20aatutuw
SN Ia,ZTF20abdsunu
nan,ZTF23abmstux
nan,ZTF22aadmzyu
CV,ZTF22abnabxg
nan,ZTF21abyhwci
nan,ZTF21abryfwc
nan,ZTF20acovtuw
SN IIP,ZTF20aahirfz
nan,ZTF20abrnyjs
SN Ib,ZTF20acjbzrh
nan,ZTF24aamqrwk
nan,ZTF20aaolglj
nan,ZTF24aagqhnx
nan,ZTF19abvhdty
nan,ZTF24aacltwu
SN Ia,ZTF23aayocyn
nan,ZTF19abfasex
SN Ia-91T-like,ZTF18abwlopg
SN Ia,ZTF21acempzi
SN II,ZTF21aclzvgz
nan,ZTF19aainjsn
nan,ZTF19adayqdl
nan,ZTF22abwtopp
SN Ia,ZTF18abxhaop
