,0,1,2,3
0,1503378560515010002,1214452403315015011,1212388062115010003,1517159012015010000
1,1396116970715015012,1450298623415015006,1499151936315010006,1518406674015015003
2,1501531285115015002,1519191751915015003,1513419143615015008,1514343500715010005
3,1511417772715010003,1499544725415010039,1516406210415015022,ZTF19aarioci-14
4,1511502632715015014,1214443920815015015,1338338792915015002,1516373392615010000
5,1494269530215015022,1213436281315015003,1452379572015015000,1494190481215015003
6,1449526185515015005,1113372491815015001,1494541825815010004,1399160082015015005
7,1499482816215010001,1503218790515015006,1499308432115010016,1213337381115010006
8,1516398045815015011,1514286700315015003,1497150712815015004,1508523132415015012
9,1495163090715015008,1246258571615010010,1212441771815010023,1516208055515015011
10,1498151701515015011,1498153114315015008,1514458183015015001,1544429421415015001
11,1499484680215010008,1498353710415010008,1502336136315015002,1211232294915015019
12,1502526795715015002,1518147345715015005,1118304125115015020,1517155235415010000
13,1496369080215015000,1497421302015010007,1210382451315015004,1502207412215010005
14,1160477801115015006,1449526185515015005,1477430533915015003,1161380520115015001
15,1158246554315015006,1517481972115010001,1214446290615010000,1495423933615010002
16,1187474341615010010,1519407323615015002,1499173925915015014,1503243535515010005
17,ZTF20abjwvae-27,1275237334615015008,1274213115515015009,1511417772715010003
18,1498531203815010014,1515466315015010000,1516425015915010003,1516531043815010020
19,1113397634515015003,1113408200215015006,1428211941115015005,1246309990815015004
20,1478211051215015014,1512275391515015018,1513530270815015007,1515510795915010010
21,1495525782215015001,1499533003115015026,1497183391115010021,1498284224115010000
22,1154469510415015005,1202324342815010007,1240435236015015015,1396507770315015002
23,1514335601615015000,1515453872415015000,1215381846115010000,1518530211215015009
24,1187470181115010010,1210339952015015006,1496259000015010038,1502153040915010008
25,1496351681215015011,1519276501215010000,1502328110115010055,1502538283515010013
26,ZTF19aarioci-14,1499486081415010002,1275237334615015008,1511417772715010003
27,1494389356315010001,1510332832515010002,1515514095315010000,1210423214515015018
28,1509393025115010004,1514335605415010001,1213458133715010024,1497416412715010009
29,1497176604015010008,1500252301315010053,1495332121215015009,1511504052815015003
30,1478483566215015014,1518190984515015019,1539210655415015002,1498391813115010002
